Fold,ROC-AUC,PR-AUC,F1
Fold0,0.784809324929872,0.6515794980737081,0.624590930341281
Fold1,0.7082139577594122,0.674319975908677,0.6892655367231638
Fold2,0.752240555198088,0.6632945321238739,0.6195286195286195
Fold3,0.7521670235687564,0.8010695469557028,0.7528150134048257
Fold4,0.8322918122932104,0.8313084640517,0.7762430939226519
Mean,0.7659445347498679,0.7243144034227325,0.6924886387841084
Std,0.04115405189164508,0.07596356363489143,0.06418369238190834
