Fold,ROC-AUC,PR-AUC,F1
Fold0,0.7636793966623877,0.6659337583973137,0.6246498599439776
Fold1,0.700017217630854,0.6653624837578728,0.6891477621091355
Fold2,0.7872324738793395,0.6764059215543461,0.6442207566817078
Fold3,0.7335610236480682,0.7607798138699567,0.7673509286412512
Fold4,0.7393343119437066,0.7442910448733868,0.684593023255814
Mean,0.7447648847528713,0.7025546044905753,0.6819924661263771
Std,0.02938920286276572,0.041328438866191176,0.04910988657907855
