Fold,ROC-AUC,PR-AUC,F1
Fold0,0.7988230176983788,0.6950456487876988,0.6441983630235917
Fold1,0.706986914600551,0.6748298728278826,0.6858213616489693
Fold2,0.7857368554095044,0.6946640536038138,0.6545884206380465
Fold3,0.7544389697426339,0.7942301502240315,0.7574646411733892
Fold4,0.8152639917983131,0.8167595119541797,0.7455705173635719
Mean,0.7722499498498763,0.7351058474795213,0.6975286607695137
Std,0.038248469625679384,0.058372177325303004,0.04631498130171806
