Fold,Transformer_ROC,Transformer_PR,Transformer_F1,GATv2_ROC,GATv2_PR,GATv2_F1,Ensemble_ROC,Ensemble_PR,Ensemble_F1
Fold0,0.784809324929872,0.6515794980737081,0.624590930341281,0.7636793966623877,0.6659337583973137,0.6246498599439776,0.7988230176983788,0.6950456487876988,0.6441983630235917
Fold1,0.7082139577594122,0.674319975908677,0.6892655367231638,0.700017217630854,0.6653624837578728,0.6891477621091355,0.706986914600551,0.6748298728278826,0.6858213616489693
Fold2,0.752240555198088,0.6632945321238739,0.6195286195286195,0.7872324738793395,0.6764059215543461,0.6442207566817078,0.7857368554095044,0.6946640536038138,0.6545884206380465
Fold3,0.7521670235687564,0.8010695469557028,0.7528150134048257,0.7335610236480682,0.7607798138699567,0.7673509286412512,0.7544389697426339,0.7942301502240315,0.7574646411733892
Fold4,0.8322918122932104,0.8313084640517,0.7762430939226519,0.7393343119437066,0.7442910448733868,0.684593023255814,0.8152639917983131,0.8167595119541797,0.7455705173635719
Mean,0.7659445347498679,0.7243144034227325,0.6924886387841084,0.7447648847528713,0.7025546044905753,0.6819924661263771,0.7722499498498763,0.7351058474795213,0.6975286607695137
Std,0.04115405189164508,0.07596356363489143,0.06418369238190834,0.02938920286276572,0.041328438866191176,0.04910988657907855,0.038248469625679384,0.058372177325303004,0.04631498130171806
