epoch,train_loss,val_auc,val_prauc
1,0.7366602772474289,0.6538469087998284,0.5826130650658693
2,0.6889485204219818,0.7615019954346296,0.6820634651942066
3,0.6707317566871643,0.7893990620308239,0.7005941256314133
4,0.6636064639687538,0.788533719398229,0.6973608915692999
5,0.6503584623336792,0.8020957808622116,0.7086345808720466
6,0.6359928059577942,0.7993788683089746,0.7055289295890325
7,0.635824559032917,0.8101227613598064,0.7124480188702158
8,0.6279810389876366,0.8074257169776634,0.7049567229277985
9,0.6287282547354698,0.7967498065845513,0.7020454635630867
10,0.6162008717656136,0.8021254634310753,0.7053547001608556
11,0.6087251970171929,0.7981511110855776,0.7033068003737986
12,0.6041267910599708,0.8027341954683336,0.7053407323400374
13,0.5973567110300064,0.8037790697674418,0.7050317330807842
14,0.5991279765963554,0.7992582230290775,0.7026803317014653
15,0.5940467521548272,0.7982581119588197,0.7001009030981113
16,0.591658006310463,0.7987325543095259,0.7005602131029862
17,0.5879074764251709,0.7972512983730123,0.6990673742276061
18,0.5880488333106041,0.7972544102552319,0.6988434078120133
19,0.5878689333796501,0.7970514197842938,0.6987834029605707
20,0.585809580385685,0.7968747606244446,0.6985134121858536
21,0.5875369054079056,0.7968769150044428,0.6985180231851789
22,0.5842471846938133,0.7967337684223428,0.6983649809794003
