epoch,train_loss,val_auc,val_prauc
1,0.827353227822507,0.7108567500815508,0.6931303909365215
2,0.7879170853583539,0.7205170324805444,0.699178874395693
3,0.7624904405875285,0.7230124889323828,0.6996453677184766
4,0.7490969827917756,0.7250932009879305,0.7003572318304645
5,0.738222856502064,0.7247436972831912,0.6992940026993819
6,0.7309192805016627,0.724394193578452,0.6983927306062478
7,0.7250270887476499,0.7233235472296007,0.6967913392364647
8,0.7177603107983949,0.7216121440887273,0.6946957741783861
9,0.7111740029249035,0.7214606924833404,0.6926738808010566
10,0.7046926060660941,0.7208059555431288,0.6915596777669997
11,0.6987641312059809,0.7209632322102613,0.6914858338752119
12,0.6922786973538946,0.7218428165338553,0.6908623837153629
13,0.6887559314243129,0.7246085558506921,0.6914814170609096
14,0.6834825717034887,0.7227398760426861,0.6906891408103513
15,0.6805989361200177,0.7249184491355609,0.6915998872038464
16,0.6767217995690518,0.7255452257793932,0.6919108682735727
17,0.6748456261197074,0.7250943660002797,0.6917775204283656
18,0.6733334399149066,0.7252027121487489,0.6917185179987724
19,0.6725924535364401,0.7253063982478214,0.6916874493111198
20,0.6722726049970408,0.7253506687170883,0.6916860009314234
21,0.6718311558981411,0.7253495037047393,0.691685129899996
22,0.6723435863119657,0.7253518337294376,0.6916805638626381
23,0.6726822398725103,0.725230672445128,0.6914992414644909
24,0.6719401505638342,0.7255359056806002,0.6917840923039653
25,0.6712724136524513,0.7258329838296286,0.6916841383735917
26,0.6705789517183773,0.7261440421268466,0.69149934654022
27,0.6686832758246876,0.7267591686471876,0.6923490856582439
28,0.6674217879772186,0.7270166363763456,0.6928615912241599
29,0.6654473934017244,0.7287128943566801,0.6933142649974636
30,0.6636106379208018,0.7315077589822452,0.6946669756334182
31,0.6587632769932512,0.7324747192320238,0.6944994228311567
32,0.6549217354078762,0.7337760380260031,0.695923687116528
33,0.6508463723737685,0.7339333146931356,0.694094870466293
34,0.6488727455744978,0.7405820401696258,0.6987626709220327
35,0.6473655309833464,0.74245305000233,0.6980135003134493
36,0.6422013870028199,0.7440118365254672,0.6994731557069199
37,0.6389522237367318,0.74589799151871,0.6995359864837543
38,0.641335736288399,0.7506372617549747,0.7008570584260916
39,0.6317445049520398,0.7486381005638658,0.6991033416621325
40,0.6275232959477628,0.7525583671186915,0.7018030629708862
41,0.6239691261873871,0.7496726315298942,0.6998644676438075
42,0.6208757765469004,0.7529731115149821,0.7018246350539377
43,0.623111359164363,0.7567361014026748,0.7040272825979689
44,0.6111606034587641,0.7540262826785965,0.7034335911855155
45,0.6099829023978749,0.7551493545831586,0.7028819574109182
46,0.6151960533661921,0.7547183000139802,0.7021908094803571
47,0.6077185287827351,0.7529614613914908,0.7042417398808114
48,0.5991390340152334,0.7525304068223123,0.7031658504446943
49,0.5996224977931038,0.7511708374108765,0.7000491296004359
50,0.5952224824272219,0.7504485297544154,0.7000036275637291
51,0.5969945553873406,0.7518663497833077,0.7016778671530612
52,0.5925818327508989,0.751504030942728,0.700349504629681
53,0.5873627667544318,0.7507758982245212,0.7009208771005154
54,0.5849182893995379,0.7495840905913602,0.6982815373958002
55,0.5835133414776599,0.7500792208397409,0.6988750693430714
56,0.5820719284600899,0.7508061885455986,0.6998766992284395
57,0.581117108464241,0.7505207605200614,0.6994736788507607
58,0.5796284946750422,0.7495584603196793,0.6989632882604966
