metric,point,ci_2.5,ci_97.5,note
ROC-AUC,0.9404268929503917,0.9336251033507397,0.9468623803307223,
PR-AUC,0.626958980098176,0.5921693393457989,0.6625159559344495,
F1@0.50,0.615463389656938,0.5938735707048777,0.6370610662919751,thr=0.5
F1@Best,0.6349397590361446,0.6150146396396398,0.663433256344486,"thr≈0.5455, Prec≈0.5791, Rec≈0.7027"
