fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0013333333333333333,0.8628126978874207
0.0,0.005333333333333333,0.8436968326568604
0.00016318537859007833,0.005333333333333333,0.8364204168319702
0.00016318537859007833,0.009333333333333334,0.8115112781524658
0.00032637075718015666,0.009333333333333334,0.8110445737838745
0.00032637075718015666,0.010666666666666666,0.8046067357063293
0.0004895561357702349,0.010666666666666666,0.8039393424987793
0.0004895561357702349,0.012,0.8030440807342529
0.0006527415143603133,0.012,0.7997161149978638
0.0006527415143603133,0.014666666666666666,0.7937942147254944
0.0008159268929503916,0.014666666666666666,0.7904338836669922
0.0008159268929503916,0.016,0.7900866866111755
0.0011422976501305484,0.016,0.7882786989212036
0.0011422976501305484,0.036,0.7647398114204407
0.0013054830287206266,0.036,0.7646355628967285
0.0013054830287206266,0.04,0.7618107795715332
0.001468668407310705,0.04,0.7594290971755981
0.001468668407310705,0.052,0.7478828430175781
0.0016318537859007832,0.052,0.747835636138916
0.0016318537859007832,0.05466666666666667,0.7452609539031982
0.0021214099216710185,0.05466666666666667,0.7428538799285889
0.0021214099216710185,0.056,0.7422346472740173
0.0022845953002610967,0.056,0.741710901260376
0.0022845953002610967,0.07066666666666667,0.7331304550170898
0.0026109660574412533,0.07066666666666667,0.7323921918869019
0.0026109660574412533,0.07466666666666667,0.7309138774871826
0.0027741514360313316,0.07466666666666667,0.7308136820793152
0.0027741514360313316,0.076,0.7303484082221985
0.0032637075718015664,0.076,0.7295112609863281
0.0032637075718015664,0.08,0.7258188128471375
0.003426892950391645,0.08,0.7255235910415649
0.003426892950391645,0.08133333333333333,0.7255036234855652
0.0035900783289817234,0.08133333333333333,0.7253868579864502
0.0035900783289817234,0.088,0.7223262786865234
0.0037532637075718017,0.088,0.7223259210586548
0.0037532637075718017,0.09333333333333334,0.7208476662635803
0.004079634464751959,0.09333333333333334,0.7204064130783081
0.004079634464751959,0.10133333333333333,0.7171772122383118
0.004242819843342037,0.10133333333333333,0.7162042856216431
0.004242819843342037,0.11333333333333333,0.710274875164032
0.00489556135770235,0.11333333333333333,0.70912766456604
0.00489556135770235,0.11466666666666667,0.7089350819587708
0.005221932114882507,0.11466666666666667,0.7084057331085205
0.005221932114882507,0.12266666666666666,0.7068282961845398
0.005385117493472585,0.12266666666666666,0.706757664680481
0.005385117493472585,0.12533333333333332,0.7061319947242737
0.005548302872062663,0.12533333333333332,0.7056061029434204
0.005548302872062663,0.128,0.7053427696228027
0.006201044386422976,0.128,0.7025386095046997
0.006201044386422976,0.13466666666666666,0.7017295956611633
0.0063642297650130545,0.13466666666666666,0.7016637325286865
0.0063642297650130545,0.13866666666666666,0.7004051208496094
0.006527415143603133,0.13866666666666666,0.7003337740898132
0.006527415143603133,0.14266666666666666,0.7001213431358337
0.006690600522193211,0.14266666666666666,0.700114905834198
0.006690600522193211,0.15466666666666667,0.698519766330719
