fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00022163120567375886,0.86282206
0.0,0.004432624113475178,0.84374344
0.0,0.005319148936170213,0.84361684
0.0,0.00576241134751773,0.83649355
0.0001618384851917786,0.00576241134751773,0.8364204
0.0001618384851917786,0.0070921985815602835,0.83086467
0.0001618384851917786,0.007535460992907801,0.83068347
0.0001618384851917786,0.008643617021276596,0.81339175
0.0001618384851917786,0.009086879432624113,0.8126377
0.0001618384851917786,0.009308510638297872,0.81169575
0.0001618384851917786,0.00975177304964539,0.81114745
0.0003236769703835572,0.00975177304964539,0.8110446
0.0003236769703835572,0.010416666666666666,0.8070675
0.0003236769703835572,0.010859929078014184,0.8053689
0.0003236769703835572,0.01152482269503546,0.804067
0.0004855154555753358,0.01152482269503546,0.80393934
0.0004855154555753358,0.012854609929078014,0.8023479
0.0004855154555753358,0.013297872340425532,0.80210423
0.0004855154555753358,0.014184397163120567,0.80045176
0.0006473539407671144,0.014184397163120567,0.7997161
0.0006473539407671144,0.014849290780141845,0.79605776
0.0006473539407671144,0.015292553191489361,0.79598874
0.0006473539407671144,0.016843971631205674,0.79162955
0.0008091924259588931,0.016843971631205674,0.7904339
0.0008091924259588931,0.018173758865248225,0.7888928
0.0011328693963424503,0.018173758865248225,0.7882787
0.0011328693963424503,0.020611702127659573,0.7851418
0.0012947078815342288,0.020833333333333332,0.7842464
0.0012947078815342288,0.02171985815602837,0.7812934
0.0012947078815342288,0.022606382978723406,0.7808486
0.0012947078815342288,0.023936170212765957,0.77938104
0.0012947078815342288,0.024601063829787235,0.7790895
0.0012947078815342288,0.025487588652482268,0.77895784
0.0012947078815342288,0.026374113475177305,0.77893037
0.0012947078815342288,0.026817375886524823,0.77859837
0.0012947078815342288,0.02726063829787234,0.77841353
0.0012947078815342288,0.031914893617021274,0.7730192
0.0012947078815342288,0.03235815602836879,0.7719685
0.0012947078815342288,0.03346631205673759,0.77110195
0.0012947078815342288,0.0339095744680851,0.77107096
0.0012947078815342288,0.03546099290780142,0.769178
0.0012947078815342288,0.03590425531914894,0.7691779
0.0012947078815342288,0.036125886524822695,0.7687111
0.0012947078815342288,0.036569148936170214,0.76848745
0.0012947078815342288,0.03900709219858156,0.76509225
0.0014565463667260074,0.03900709219858156,0.76463556
0.0014565463667260074,0.0398936170212766,0.7621925
0.0014565463667260074,0.040336879432624116,0.76188374
0.0014565463667260074,0.04188829787234043,0.76023686
0.0014565463667260074,0.042331560283687945,0.7598931
0.0014565463667260074,0.04321808510638298,0.75945807
0.0016183848519177862,0.04321808510638298,0.7594291
0.0016183848519177862,0.043661347517730494,0.75896215
