metric,point,ci_2.5,ci_97.5,note
ROC-AUC,0.9335967225985063,0.9290724317071722,0.9381330348037394,
PR-AUC,0.8955745730538661,0.8863414434585981,0.9041672250635981,
F1@0.50,0.8159502132073297,0.8074807728174704,0.8243966478974692,thr=0.5
F1@Best,0.8401298437817002,0.8337082996934492,0.8471901797307818,"thr≈0.4141, Prec≈0.7746, Rec≈0.9178"
