recall,precision,threshold
1.0,0.10904332654841524,0.09497040510177612
1.0,0.10905918278319035,0.1513596922159195
1.0,0.10907504363001745,0.1539742350578308
1.0,0.10909090909090909,0.15559588372707367
1.0,0.10910677916787896,0.15697245299816132
1.0,0.10912265386294194,0.15746502578258514
1.0,0.10913853317811409,0.16006886959075928
1.0,0.1091544171154126,0.16038846969604492
1.0,0.1091703056768559,0.16041050851345062
1.0,0.10918619886446353,0.1608370691537857
1.0,0.10920209668025627,0.16091462969779968
1.0,0.109217999126256,0.16103674471378326
1.0,0.10923390620448588,0.16108673810958862
1.0,0.10924981791697014,0.16137021780014038
1.0,0.10926573426573427,0.1617662012577057
1.0,0.1092816552528049,0.1622137427330017
1.0,0.10929758088020985,0.16235364973545074
1.0,0.10931351114997814,0.16333244740962982
1.0,0.10932944606413994,0.1643611043691635
1.0,0.10934538562472663,0.16465429961681366
1.0,0.10936132983377078,0.16470563411712646
1.0,0.10937727869330612,0.1647476851940155
1.0,0.10939323220536756,0.16484253108501434
1.0,0.10940919037199125,0.16511017084121704
1.0,0.10942515319521447,0.1651151329278946
1.0,0.10944112067707573,0.16532781720161438
1.0,0.10945709281961472,0.16543880105018616
1.0,0.10947306962487229,0.16578614711761475
1.0,0.10948905109489052,0.16582050919532776
1.0,0.10950503723171266,0.16583111882209778
1.0,0.10952102803738317,0.16584129631519318
1.0,0.10953702351394771,0.16612839698791504
1.0,0.10955302366345311,0.16617423295974731
1.0,0.1095690284879474,0.16617673635482788
1.0,0.10958503798947984,0.1662738025188446
1.0,0.10960105217010083,0.1663222312927246
1.0,0.10961707103186202,0.16639764606952667
1.0,0.10963309457681626,0.1666753888130188
1.0,0.10964912280701754,0.1668560653924942
1.0,0.10966515572452112,0.16691535711288452
1.0,0.10968119333138344,0.1670638471841812
1.0,0.10969723562966213,0.16708385944366455
1.0,0.10971328262141604,0.16709831357002258
1.0,0.1097293343087052,0.16737844049930573
1.0,0.10974539069359086,0.16748230159282684
1.0,0.10976145177813552,0.16748519241809845
1.0,0.10977751756440281,0.16765658557415009
1.0,0.10979358805445762,0.1678270399570465
1.0,0.10980966325036604,0.16786892712116241
1.0,0.10982574315419534,0.16789118945598602
1.0,0.10984182776801406,0.1679760366678238
1.0,0.1098579170938919,0.16814333200454712
1.0,0.1098740111338998,0.1681831181049347
1.0,0.10989010989010989,0.16830217838287354
1.0,0.10990621336459555,0.1683053970336914
1.0,0.10992232155943134,0.1683526337146759
1.0,0.10993843447669305,0.16841059923171997
1.0,0.1099545521184577,0.16841937601566315
1.0,0.10997067448680352,0.16856272518634796
1.0,0.10998680158380994,0.16857066750526428
1.0,0.11000293341155765,0.1688653826713562
1.0,0.1100190699721285,0.16890186071395874
1.0,0.11003521126760564,0.16900275647640228
1.0,0.11005135730007337,0.16912487149238586
1.0,0.11006750807161726,0.1695198118686676
1.0,0.11008366358432409,0.1696576476097107
