recall,precision,threshold
1.0,0.42203722757459544,0.09497040510177612
1.0,0.42207670720299345,0.1513596922159195
1.0,0.42211619421835533,0.1539742350578308
1.0,0.4221556886227545,0.15559588372707367
1.0,0.4221951904182652,0.15697245299816132
1.0,0.42223469960696236,0.15746502578258514
1.0,0.42227421619092187,0.16006886959075928
1.0,0.4223137401722201,0.16038846969604492
1.0,0.42235327155293456,0.16041050851345062
1.0,0.42239281033514325,0.1608370691537857
1.0,0.42243235652092503,0.16091462969779968
1.0,0.42247191011235957,0.16103674471378326
1.0,0.4225114711115273,0.16108673810958862
1.0,0.4225510395205095,0.16137021780014038
1.0,0.42259061534138803,0.1617662012577057
1.0,0.4226301985762458,0.1622137427330017
1.0,0.4226697892271663,0.16235364973545074
1.0,0.42270938729623386,0.16333244740962982
1.0,0.4227489927855336,0.1643611043691635
1.0,0.42278860569715143,0.16465429961681366
1.0,0.42282822603317405,0.16470563411712646
1.0,0.42286785379568886,0.1647476851940155
1.0,0.42290748898678415,0.16484253108501434
1.0,0.4229471316085489,0.16511017084121704
1.0,0.422986781663073,0.1651151329278946
1.0,0.42302643915244703,0.16532781720161438
1.0,0.42306610407876233,0.16543880105018616
1.0,0.423105776444111,0.16578614711761475
1.0,0.42314545625058614,0.16582050919532776
1.0,0.42318514350028136,0.16583111882209778
1.0,0.4232248381952913,0.16584129631519318
1.0,0.42326454033771105,0.16612839698791504
1.0,0.42330424992963694,0.16617423295974731
1.0,0.4233439669731657,0.16617673635482788
1.0,0.42338369147039506,0.1662738025188446
1.0,0.42342342342342343,0.1663222312927246
1.0,0.4234631628343501,0.16639764606952667
1.0,0.423502909705275,0.1666753888130188
1.0,0.42354266403829904,0.1668560653924942
1.0,0.42358242583552386,0.16691535711288452
1.0,0.42362219509905175,0.1670638471841812
1.0,0.4236619718309859,0.16708385944366455
1.0,0.42370175603343035,0.16709831357002258
1.0,0.4237415477084899,0.16737844049930573
1.0,0.42378134685826996,0.16748230159282684
1.0,0.4238211534848769,0.16748519241809845
1.0,0.423860967590418,0.16765658557415009
1.0,0.42390078917700114,0.1678270399570465
1.0,0.42394061824673496,0.16786892712116241
1.0,0.423980454801729,0.16789118945598602
1.0,0.4240202988440936,0.1679760366678238
1.0,0.42406015037593986,0.16814333200454712
1.0,0.42410000939937964,0.1681831181049347
1.0,0.4241398759165257,0.16830217838287354
1.0,0.4241797499294914,0.1683053970336914
1.0,0.4242196314403911,0.1683526337146759
1.0,0.4242595204513399,0.16841059923171997
1.0,0.4242994169644536,0.16841937601566315
1.0,0.42433932098184896,0.16856272518634796
1.0,0.42437923250564336,0.16857066750526428
1.0,0.42441915153795506,0.1688653826713562
1.0,0.4244590780809031,0.16890186071395874
1.0,0.4244990121366074,0.16900275647640228
1.0,0.4245389537071886,0.16912487149238586
1.0,0.42457890279476806,0.1695198118686676
1.0,0.4246188594014681,0.1696576476097107
1.0,0.42465882352941176,0.16966131329536438
1.0,0.4246987951807229,0.16967803239822388
1.0,0.4247387743575261,0.16979360580444336
1.0,0.4247787610619469,0.16981357336044312
1.0,0.42481875529611146,0.17025940120220184
1.0,0.4248587570621469,0.17027148604393005
1.0,0.424898766362181,0.17043469846248627
1.0,0.42493878319834244,0.17045894265174866
1.0,0.4249788075727607,0.17049549520015717
1.0,0.4250188394875659,0.17054611444473267
1.0,0.4250588789448893,0.1706303060054779
1.0,0.42509892594686266,0.17075476050376892
1.0,0.4251389804956186,0.17091351747512817
1.0,0.4251790425932906,0.17094548046588898
