analysis_set,n,mean,median,q1,q3,min,max,exact_1.0_n,exact_1.0_pct
external_original_vs_internal,3999,0.8110252031448647,1.0,0.583974358974359,1.0,0.15311004784688995,1.0,2004,50.112528132033006
external_strict_vs_internal,1683,0.5695184151094613,0.5294117647058824,0.3969421101774043,0.7083333333333334,0.15311004784688995,1.0,93,5.525846702317291
