analysis_set,fpr,tpr,threshold,roc_auc,n,n_pos,n_neg
original,0.0,0.0,,0.8400072089259792,3999,592,3407
original,0.000293513354857646,0.0,0.9975839,0.8400072089259792,3999,592,3407
original,0.000587026709715292,0.0,0.99276924,0.8400072089259792,3999,592,3407
original,0.000587026709715292,0.0016891891891891893,0.99022734,0.8400072089259792,3999,592,3407
original,0.001174053419430584,0.0016891891891891893,0.9870974,0.8400072089259792,3999,592,3407
original,0.001174053419430584,0.0033783783783783786,0.9785032,0.8400072089259792,3999,592,3407
original,0.002054593484003522,0.0033783783783783786,0.96772915,0.8400072089259792,3999,592,3407
original,0.002054593484003522,0.006756756756756757,0.963079,0.8400072089259792,3999,592,3407
original,0.0029351335485764602,0.006756756756756757,0.95775014,0.8400072089259792,3999,592,3407
original,0.0029351335485764602,0.011824324324324325,0.95219344,0.8400072089259792,3999,592,3407
original,0.0035221602582917524,0.011824324324324325,0.94810617,0.8400072089259792,3999,592,3407
original,0.0035221602582917524,0.013513513513513514,0.9464171,0.8400072089259792,3999,592,3407
original,0.0038156736131493983,0.013513513513513514,0.9463408,0.8400072089259792,3999,592,3407
original,0.0038156736131493983,0.015202702702702704,0.9419352,0.8400072089259792,3999,592,3407
original,0.004696213677722336,0.015202702702702704,0.9397311,0.8400072089259792,3999,592,3407
original,0.004696213677722336,0.018581081081081082,0.93889236,0.8400072089259792,3999,592,3407
original,0.004989727032579982,0.018581081081081082,0.93829703,0.8400072089259792,3999,592,3407
original,0.004989727032579982,0.02027027027027027,0.9382889,0.8400072089259792,3999,592,3407
original,0.00733783387144115,0.02027027027027027,0.93257904,0.8400072089259792,3999,592,3407
original,0.00733783387144115,0.02364864864864865,0.93168235,0.8400072089259792,3999,592,3407
original,0.008218373936014088,0.02364864864864865,0.929512,0.8400072089259792,3999,592,3407
original,0.008218373936014088,0.02702702702702703,0.9271666,0.8400072089259792,3999,592,3407
original,0.008805400645729381,0.02702702702702703,0.92616427,0.8400072089259792,3999,592,3407
original,0.008805400645729381,0.028716216216216218,0.92561316,0.8400072089259792,3999,592,3407
original,0.009392427355444672,0.028716216216216218,0.92382205,0.8400072089259792,3999,592,3407
original,0.009392427355444672,0.030405405405405407,0.9232888,0.8400072089259792,3999,592,3407
original,0.00968594071030232,0.030405405405405407,0.9172733,0.8400072089259792,3999,592,3407
original,0.00968594071030232,0.03209459459459459,0.9170226,0.8400072089259792,3999,592,3407
original,0.009979454065159965,0.03209459459459459,0.9157244,0.8400072089259792,3999,592,3407
original,0.009979454065159965,0.033783783783783786,0.9148256,0.8400072089259792,3999,592,3407
original,0.010566480774875257,0.033783783783783786,0.91352427,0.8400072089259792,3999,592,3407
original,0.010566480774875257,0.037162162162162164,0.9125979,0.8400072089259792,3999,592,3407
original,0.010859994129732903,0.037162162162162164,0.9123871,0.8400072089259792,3999,592,3407
original,0.010859994129732903,0.03885135135135135,0.91107,0.8400072089259792,3999,592,3407
original,0.011153507484590548,0.03885135135135135,0.91028094,0.8400072089259792,3999,592,3407
original,0.011740534194305841,0.03885135135135135,0.90990794,0.8400072089259792,3999,592,3407
original,0.011740534194305841,0.04222972972972973,0.90690196,0.8400072089259792,3999,592,3407
original,0.012327560904021134,0.04222972972972973,0.90688,0.8400072089259792,3999,592,3407
original,0.012621074258878779,0.04222972972972973,0.9068365,0.8400072089259792,3999,592,3407
original,0.012621074258878779,0.04560810810810811,0.9057527,0.8400072089259792,3999,592,3407
original,0.015556207807455239,0.04560810810810811,0.9003769,0.8400072089259792,3999,592,3407
