analysis_set,recall,precision,threshold,pr_auc,n,n_pos,n_neg
original,1.0,0.14968394437420987,0.08502974,0.44064149552255333,3999,592,3407
original,1.0,0.14972180070814364,0.08567894,0.44064149552255333,3999,592,3407
original,1.0,0.1497596761952947,0.086877435,0.44064149552255333,3999,592,3407
original,1.0,0.14979757085020243,0.08703509,0.44064149552255333,3999,592,3407
original,1.0,0.14983548468742092,0.08840786,0.44064149552255333,3999,592,3407
original,1.0,0.149873417721519,0.09197171,0.44064149552255333,3999,592,3407
original,1.0,0.14991136996708027,0.09235682,0.44064149552255333,3999,592,3407
original,1.0,0.14994934143870314,0.09306568,0.44064149552255333,3999,592,3407
original,1.0,0.14998733215100077,0.093869686,0.44064149552255333,3999,592,3407
original,1.0,0.1500253421186011,0.09423789,0.44064149552255333,3999,592,3407
original,1.0,0.15006337135614703,0.09502325,0.44064149552255333,3999,592,3407
original,1.0,0.15010141987829614,0.09754221,0.44064149552255333,3999,592,3407
original,1.0,0.15013948769972102,0.09758051,0.44064149552255333,3999,592,3407
original,1.0,0.15017757483510907,0.09830897,0.44064149552255333,3999,592,3407
original,1.0,0.15021568129916266,0.098709956,0.44064149552255333,3999,592,3407
original,1.0,0.150253807106599,0.09896533,0.44064149552255333,3999,592,3407
original,1.0,0.15029195227215028,0.098990306,0.44064149552255333,3999,592,3407
original,1.0,0.15033011681056374,0.09929855,0.44064149552255333,3999,592,3407
original,1.0,0.15036830073660148,0.09986174,0.44064149552255333,3999,592,3407
original,1.0,0.15040650406504066,0.10031878,0.44064149552255333,3999,592,3407
original,1.0,0.15044472681067345,0.10061078,0.44064149552255333,3999,592,3407
original,1.0,0.15048296898830707,0.10208459,0.44064149552255333,3999,592,3407
original,1.0,0.1505212306127638,0.104301356,0.44064149552255333,3999,592,3407
original,1.0,0.150559511698881,0.1051375,0.44064149552255333,3999,592,3407
original,1.0,0.15059781226151106,0.10728307,0.44064149552255333,3999,592,3407
original,1.0,0.15063613231552161,0.10750421,0.44064149552255333,3999,592,3407
original,1.0,0.15067447187579536,0.10807038,0.44064149552255333,3999,592,3407
original,1.0,0.15071283095723015,0.108493164,0.44064149552255333,3999,592,3407
original,1.0,0.15075120957473898,0.10891726,0.44064149552255333,3999,592,3407
original,1.0,0.15078960774325012,0.108952835,0.44064149552255333,3999,592,3407
original,1.0,0.15082802547770702,0.110371105,0.44064149552255333,3999,592,3407
original,1.0,0.15086646279306828,0.1114424,0.44064149552255333,3999,592,3407
original,1.0,0.15090491970430792,0.11223063,0.44064149552255333,3999,592,3407
original,1.0,0.1509433962264151,0.11256183,0.44064149552255333,3999,592,3407
original,1.0,0.1509818923743943,0.112598225,0.44064149552255333,3999,592,3407
original,1.0,0.1510204081632653,0.113054894,0.44064149552255333,3999,592,3407
original,1.0,0.1510589436080633,0.11400486,0.44064149552255333,3999,592,3407
original,1.0,0.15109749872383868,0.114305265,0.44064149552255333,3999,592,3407
original,1.0,0.1511360735256574,0.11477931,0.44064149552255333,3999,592,3407
original,1.0,0.1511746680286006,0.11529497,0.44064149552255333,3999,592,3407
original,1.0,0.151213282247765,0.11532304,0.44064149552255333,3999,592,3407
original,1.0,0.15125191619826264,0.11541693,0.44064149552255333,3999,592,3407
original,1.0,0.15129056989522105,0.11590734,0.44064149552255333,3999,592,3407
original,1.0,0.15132924335378323,0.11604403,0.44064149552255333,3999,592,3407
original,1.0,0.15136793658910763,0.11711484,0.44064149552255333,3999,592,3407
original,1.0,0.1514066496163683,0.11776488,0.44064149552255333,3999,592,3407
original,1.0,0.15144538245075467,0.11815038,0.44064149552255333,3999,592,3407
original,1.0,0.15148413510747186,0.118152,0.44064149552255333,3999,592,3407
original,1.0,0.15152290760174048,0.118502274,0.44064149552255333,3999,592,3407
original,1.0,0.15156169994879673,0.11906776,0.44064149552255333,3999,592,3407
original,1.0,0.15160051216389245,0.12052215,0.44064149552255333,3999,592,3407
original,1.0,0.15163934426229508,0.121156566,0.44064149552255333,3999,592,3407
original,1.0,0.15167819625928772,0.12146948,0.44064149552255333,3999,592,3407
original,1.0,0.15171706817016914,0.121749386,0.44064149552255333,3999,592,3407
original,1.0,0.1517559600102538,0.12263554,0.44064149552255333,3999,592,3407
original,1.0,0.1517948717948718,0.123255625,0.44064149552255333,3999,592,3407
original,1.0,0.15183380353936907,0.12401961,0.44064149552255333,3999,592,3407
original,1.0,0.15187275525910723,0.124230124,0.44064149552255333,3999,592,3407
original,1.0,0.1519117269694637,0.12475614,0.44064149552255333,3999,592,3407
original,1.0,0.15195071868583163,0.12481969,0.44064149552255333,3999,592,3407
original,1.0,0.15198973042362002,0.12485497,0.44064149552255333,3999,592,3407
original,1.0,0.15202876219825373,0.12541014,0.44064149552255333,3999,592,3407
original,1.0,0.1520678140251734,0.12557726,0.44064149552255333,3999,592,3407
original,1.0,0.15210688591983557,0.12572457,0.44064149552255333,3999,592,3407
original,1.0,0.15214597789771267,0.12579568,0.44064149552255333,3999,592,3407
original,1.0,0.15218508997429306,0.12598872,0.44064149552255333,3999,592,3407
original,1.0,0.152224222165081,0.12657924,0.44064149552255333,3999,592,3407
original,1.0,0.1522633744855967,0.12690789,0.44064149552255333,3999,592,3407
original,1.0,0.15230254695137638,0.12785107,0.44064149552255333,3999,592,3407
original,1.0,0.1523417395779722,0.12888952,0.44064149552255333,3999,592,3407
original,1.0,0.1523809523809524,0.12905349,0.44064149552255333,3999,592,3407
original,1.0,0.15242018537590113,0.12960355,0.44064149552255333,3999,592,3407
original,1.0,0.15245943857841876,0.1300584,0.44064149552255333,3999,592,3407
original,1.0,0.1524987120041216,0.13052106,0.44064149552255333,3999,592,3407
original,1.0,0.1525380056686421,0.13104454,0.44064149552255333,3999,592,3407
original,1.0,0.15257731958762888,0.13174659,0.44064149552255333,3999,592,3407
original,1.0,0.15261665377674657,0.13193625,0.44064149552255333,3999,592,3407
original,1.0,0.15265600825167613,0.13222066,0.44064149552255333,3999,592,3407
original,1.0,0.15269538302811453,0.13258219,0.44064149552255333,3999,592,3407
original,1.0,0.15273477812177502,0.13301107,0.44064149552255333,3999,592,3407
original,1.0,0.1527741935483871,0.13325626,0.44064149552255333,3999,592,3407
original,1.0,0.15281362932369644,0.13381009,0.44064149552255333,3999,592,3407
original,1.0,0.15285308546346502,0.13384822,0.44064149552255333,3999,592,3407
original,1.0,0.15289256198347106,0.13411358,0.44064149552255333,3999,592,3407
original,1.0,0.15293205889950917,0.1342256,0.44064149552255333,3999,592,3407
original,1.0,0.1529715762273902,0.13442829,0.44064149552255333,3999,592,3407
original,1.0,0.15301111398294132,0.13452435,0.44064149552255333,3999,592,3407
original,1.0,0.15305067218200621,0.13533148,0.44064149552255333,3999,592,3407
original,1.0,0.15309025084044478,0.1356068,0.44064149552255333,3999,592,3407
original,1.0,0.15312984997413348,0.13631542,0.44064149552255333,3999,592,3407
original,1.0,0.15316946959896507,0.13666697,0.44064149552255333,3999,592,3407
