n,mean,median,q1,q3,min,max,exact_1.0_n,exact_1.0_pct,split,fold,n_train_rows,n_test_rows,n_train_unique_canonical,n_test_unique_canonical
3489,0.37518820346358644,0.34782608695652173,0.2727272727272727,0.45,0.05263157894736842,1.0,6,0.17196904557179707,M2_scaffold5fold,0,7202,3489,4402,2529
1320,0.44621154934890217,0.4166666666666667,0.32742042440318303,0.5454545454545454,0.16666666666666666,1.0,8,0.6060606060606061,M2_scaffold5fold,1,9371,1320,6161,770
2996,0.44889447614384964,0.43478260869565216,0.35714285714285715,0.5238095238095238,0.17647058823529413,1.0,5,0.16688918558077437,M2_scaffold5fold,2,7695,2996,4855,2076
1574,0.48848945266039895,0.475,0.3829787234042553,0.5812078019504876,0.18181818181818182,1.0,3,0.1905972045743329,M2_scaffold5fold,3,9117,1574,6112,819
1312,0.4582619824283283,0.43333333333333335,0.34782608695652173,0.5555555555555556,0.19444444444444445,1.0,3,0.22865853658536583,M2_scaffold5fold,4,9379,1312,6194,737
