n,mean,median,q1,q3,min,max,exact_1.0_n,exact_1.0_pct,split,fold,n_train_rows,n_test_rows,n_train_unique_canonical,n_test_unique_canonical
2202,0.5108045412110428,0.5238095238095238,0.42168674698795183,0.6153846153846154,0.08333333333333333,0.9523809523809523,0,0.0,M4_butina_lco5,0,8489,2202,5544,1387
2206,0.5062227227552509,0.5172413793103449,0.4105263157894737,0.6153846153846154,0.14285714285714285,0.9629629629629629,0,0.0,M4_butina_lco5,1,8485,2206,5545,1386
2096,0.5092809814334469,0.5222332015810276,0.41531204644412195,0.6111111111111112,0.14285714285714285,0.9523809523809523,0,0.0,M4_butina_lco5,2,8595,2096,5545,1386
2101,0.5090655877197687,0.5294117647058824,0.4142857142857143,0.6190476190476191,0.14285714285714285,0.9629629629629629,0,0.0,M4_butina_lco5,3,8590,2101,5545,1386
2086,0.5125448660219001,0.5357142857142857,0.4126984126984127,0.6190476190476191,0.125,0.9473684210526315,0,0.0,M4_butina_lco5,4,8605,2086,5545,1386
