Fold,Alpha,Method,Transformer_ROC,Transformer_PR,Transformer_F1,GATv2_ROC,GATv2_PR,GATv2_F1,Ensemble_ROC,Ensemble_PR,Ensemble_F1
0,0.9,butina,0.8216471867551005,0.7874101875183848,0.682896379525593,0.8076615284349097,0.7559179061286476,0.6907042253521126,0.8342600694219399,0.8080377080238503,0.6882389545737398
1,0.8,butina,0.8243460802442591,0.7921646046853434,0.7196928140427866,0.8046532317020728,0.7507510381237303,0.6738479952124476,0.8387777371634988,0.8025745217825061,0.7097862767154106
2,1.0,butina,0.84907121713827,0.8034175934982848,0.7422343324250681,0.8365706795963418,0.7302841035817832,0.7671641791044777,0.84907121713827,0.8034175934982848,0.7422343324250681
3,0.8,butina,0.796630088406454,0.7982121159960041,0.6929039952295766,0.8192311911492839,0.7864855720892187,0.6912991656734208,0.8265508894595625,0.814445771371387,0.7132701421800948
4,0.8,butina,0.84199212471874,0.8085277103844026,0.7148784825133373,0.8166840780027856,0.7342180659450079,0.7236232629953679,0.854868923890139,0.8115426883669286,0.7291788002329644
