recall,precision,threshold
1.0,0.14803700925231308,0.18348366022109985
1.0,0.14807403701850924,0.18465590476989746
1.0,0.14811108331248438,0.18874585628509521
1.0,0.14814814814814814,0.18943047523498535
1.0,0.14818523153942428,0.190092533826828
1.0,0.14822233350025038,0.19054609537124634
1.0,0.14825945404457802,0.19114701449871063
1.0,0.14829659318637275,0.19163145124912262
1.0,0.14833375093961412,0.19195806980133057
1.0,0.14837092731829574,0.19303174316883087
1.0,0.14840812233642517,0.19343173503875732
1.0,0.14844533600802406,0.1937532275915146
1.0,0.14848256834712817,0.19500650465488434
1.0,0.14851981936778724,0.19505763053894043
1.0,0.14855708908406526,0.19507268071174622
1.0,0.14859437751004015,0.19551923871040344
1.0,0.14863168465980417,0.19690418243408203
1.0,0.1486690105474636,0.1970684826374054
1.0,0.1487063551871389,0.19817744195461273
1.0,0.1487437185929648,0.19836094975471497
1.0,0.14878110077909024,0.19960278272628784
1.0,0.14881850175967823,0.20037734508514404
1.0,0.1488559215489062,0.2011459916830063
1.0,0.1488933601609658,0.20200426876544952
1.0,0.14893081761006288,0.2022576630115509
1.0,0.14896829391041772,0.2042730450630188
1.0,0.1490057890762648,0.20470881462097168
1.0,0.14904330312185296,0.2049839198589325
1.0,0.14908083606144548,0.20526060461997986
1.0,0.1491183879093199,0.20567291975021362
1.0,0.1491559586797682,0.20646846294403076
1.0,0.14919354838709678,0.20659224689006805
1.0,0.14923115704562642,0.2073184996843338
1.0,0.14926878466969237,0.20802056789398193
1.0,0.1493064312736444,0.2082681506872177
1.0,0.14934409687184663,0.2087884247303009
1.0,0.14938178147867778,0.20895026624202728
1.0,0.14941948510853104,0.20918622612953186
1.0,0.1494572077758142,0.21022166311740875
1.0,0.1494949494949495,0.2110779583454132
1.0,0.14953271028037382,0.21124863624572754
1.0,0.14957049014653864,0.21538019180297852
1.0,0.14960828910791002,0.21562935411930084
1.0,0.14964610717896865,0.2159094661474228
1.0,0.14968394437420987,0.21621495485305786
1.0,0.14972180070814364,0.2163524627685547
1.0,0.1497596761952947,0.21647807955741882
1.0,0.14979757085020243,0.21675939857959747
1.0,0.14983548468742092,0.2168489694595337
1.0,0.149873417721519,0.21690888702869415
1.0,0.14991136996708027,0.21703413128852844
1.0,0.14994934143870314,0.2171989530324936
1.0,0.14998733215100077,0.21774441003799438
1.0,0.1500253421186011,0.21785728633403778
1.0,0.15006337135614703,0.21891695261001587
1.0,0.15010141987829614,0.2191309928894043
1.0,0.15013948769972102,0.21934787929058075
1.0,0.15017757483510907,0.2195098102092743
1.0,0.15021568129916266,0.2195461392402649
1.0,0.150253807106599,0.22070376574993134
1.0,0.15029195227215028,0.22087860107421875
1.0,0.15033011681056374,0.2212948054075241
1.0,0.15036830073660148,0.22171057760715485
1.0,0.15040650406504066,0.2217268943786621
1.0,0.15044472681067345,0.22188059985637665
1.0,0.15048296898830707,0.22190234065055847
1.0,0.1505212306127638,0.2221103012561798
1.0,0.150559511698881,0.22213396430015564
1.0,0.15059781226151106,0.22335928678512573
1.0,0.15063613231552161,0.2245505452156067
1.0,0.15067447187579536,0.22506055235862732
1.0,0.15071283095723015,0.2251284122467041
1.0,0.15075120957473898,0.22528406977653503
1.0,0.15078960774325012,0.22607523202896118
1.0,0.15082802547770702,0.22661933302879333
1.0,0.15086646279306828,0.22781974077224731
1.0,0.15090491970430792,0.22850245237350464
1.0,0.1509433962264151,0.22907325625419617
1.0,0.1509818923743943,0.2302364706993103
1.0,0.1510204081632653,0.23104354739189148
1.0,0.1510589436080633,0.2310517430305481
1.0,0.15109749872383868,0.23121148347854614
1.0,0.1511360735256574,0.23156526684761047
1.0,0.1511746680286006,0.2317470908164978
1.0,0.151213282247765,0.23196178674697876
1.0,0.15125191619826264,0.23198653757572174
1.0,0.15129056989522105,0.23225846886634827
1.0,0.15132924335378323,0.23245564103126526
1.0,0.15136793658910763,0.2326507419347763
1.0,0.1514066496163683,0.232686847448349
1.0,0.15144538245075467,0.23305103182792664
1.0,0.15148413510747186,0.23388224840164185
1.0,0.15152290760174048,0.23438021540641785
1.0,0.15156169994879673,0.23438464105129242
1.0,0.15160051216389245,0.23445388674736023
1.0,0.15163934426229508,0.23463283479213715
1.0,0.15167819625928772,0.23497003316879272
1.0,0.15171706817016914,0.23502713441848755
1.0,0.1517559600102538,0.23506712913513184
1.0,0.1517948717948718,0.23508116602897644
1.0,0.15183380353936907,0.23516929149627686
1.0,0.15187275525910723,0.23539432883262634
1.0,0.1519117269694637,0.23593668639659882
1.0,0.15195071868583163,0.23597955703735352
1.0,0.15198973042362002,0.23658597469329834
1.0,0.15202876219825373,0.236692875623703
1.0,0.1520678140251734,0.23695582151412964
1.0,0.15210688591983557,0.2371792197227478
1.0,0.15214597789771267,0.2375970482826233
1.0,0.15218508997429306,0.23770771920681
1.0,0.152224222165081,0.23773112893104553
1.0,0.1522633744855967,0.23805838823318481
1.0,0.15230254695137638,0.23810696601867676
1.0,0.1523417395779722,0.23834110796451569
1.0,0.1523809523809524,0.23841962218284607
1.0,0.15242018537590113,0.2386072278022766
1.0,0.15245943857841876,0.23871365189552307
1.0,0.1524987120041216,0.23897460103034973
1.0,0.1525380056686421,0.2390086054801941
1.0,0.15257731958762888,0.2390347421169281
1.0,0.15261665377674657,0.2392703890800476
1.0,0.15265600825167613,0.2392992377281189
1.0,0.15269538302811453,0.2393670380115509
1.0,0.15273477812177502,0.23952995240688324
1.0,0.1527741935483871,0.23984554409980774
1.0,0.15281362932369644,0.23993557691574097
1.0,0.15285308546346502,0.24030545353889465
1.0,0.15289256198347106,0.2403498739004135
1.0,0.15293205889950917,0.24062708020210266
1.0,0.1529715762273902,0.24070361256599426
1.0,0.15301111398294132,0.2409563660621643
1.0,0.15305067218200621,0.2410447895526886
1.0,0.15309025084044478,0.24117189645767212
1.0,0.15312984997413348,0.24141466617584229
1.0,0.15316946959896507,0.2414744794368744
1.0,0.15320910973084886,0.24153414368629456
1.0,0.15324877038571058,0.24158543348312378
1.0,0.1532884515794925,0.24207673966884613
1.0,0.15332815332815333,0.24281077086925507
1.0,0.1533678756476684,0.243025004863739
1.0,0.15340761855402954,0.24311593174934387
1.0,0.1534473820632452,0.24342069029808044
1.0,0.15348716619134042,0.2437448501586914
1.0,0.15352697095435686,0.24404141306877136
1.0,0.1535667963683528,0.2441365271806717
1.0,0.15360664244940322,0.24416710436344147
1.0,0.1536465092135998,0.2443503737449646
1.0,0.1536863966770509,0.24457547068595886
1.0,0.1537263048558816,0.24458152055740356
1.0,0.15376623376623377,0.24541056156158447
1.0,0.15380618342426605,0.24549821019172668
1.0,0.15384615384615385,0.24579176306724548
1.0,0.15388614504808942,0.24583280086517334
1.0,0.15392615704628185,0.2460697889328003
1.0,0.1539661898569571,0.247234046459198
1.0,0.15400624349635797,0.24729754030704498
1.0,0.15404631798074422,0.2473846971988678
1.0,0.1540864133263925,0.24743936955928802
1.0,0.15412652954959646,0.2475590705871582
1.0,0.15416666666666667,0.2477705478668213
1.0,0.1542068246939307,0.24779297411441803
1.0,0.1542470036477332,0.24798175692558289
1.0,0.15428720354443576,0.24803881347179413
1.0,0.1543274244004171,0.2481434941291809
1.0,0.15436766623207301,0.24840199947357178
1.0,0.15440792905581638,0.24856425821781158
1.0,0.15444821288807722,0.2486342191696167
1.0,0.1544885177453027,0.24877282977104187
1.0,0.1545288436439572,0.2489113211631775
1.0,0.15456919060052218,0.24926090240478516
1.0,0.15460955863149647,0.249282568693161
1.0,0.15464994775339602,0.24936306476593018
1.0,0.15469035798275413,0.24937981367111206
1.0,0.15473078933612128,0.2497725486755371
1.0,0.15477124183006535,0.2502264380455017
1.0,0.15481171548117154,0.2503439784049988
1.0,0.15485221030604238,0.25049614906311035
1.0,0.15489272632129775,0.2507084310054779
1.0,0.15493326354357498,0.2507737874984741
1.0,0.1549738219895288,0.2509945034980774
1.0,0.15501440167583136,0.2514214813709259
1.0,0.15505500261917235,0.2515309453010559
1.0,0.15509562483625886,0.25172144174575806
